actor_loss,frame,step,total_time
44.001434326171875,0,0.0,5.70862603187561
35.69915201168249,100,100.0,6.791829586029053
19.17243494845853,200,200.0,7.823243618011475
8.688735168759186,300,300.0,8.853015661239624
4.65590777019463,400,400.0,10.051974534988403
2.9308097740211108,500,500.0,11.074905157089233
2.0187190251775307,600,600.0,12.091686964035034
1.5654263525906176,700,700.0,13.129485845565796
1.118382433853527,800,800.0,14.156396865844727
0.837435410533211,900,900.0,15.17565107345581
0.615231631858514,1000,1000.0,16.26907515525818
0.41907521890531674,1100,1100.0,17.330089330673218
0.2780224354661042,1200,1200.0,18.402611255645752
0.06243709507997673,1300,1300.0,19.545255184173584
-0.06002642765714981,1400,1400.0,20.736165046691895
-0.21633270901102242,1500,1500.0,21.88293433189392
-0.33428878080800617,1600,1600.0,22.895390272140503
-0.4726722243398723,1700,1700.0,23.936384439468384
-0.5283997966585183,1800,1800.0,24.940504550933838
-0.6156206402448144,1900,1900.0,25.990315437316895
-0.6873954192246541,2000,2000.0,27.675942420959473
-0.722659684053742,2100,2100.0,28.80014181137085
-0.7824382779031697,2200,2200.0,29.957085609436035
-0.8028863872041797,2300,2300.0,31.093383312225342
-0.8382847441895174,2400,2400.0,32.143954277038574
-0.8470199409097728,2500,2500.0,33.15742778778076
-0.9113559799619241,2600,2600.0,34.18797016143799
-0.9283441688754771,2700,2700.0,35.19874620437622
-0.9298796624240309,2800,2800.0,36.33496594429016
-0.9471547786552127,2900,2900.0,37.389517307281494
-0.9704530966458934,3000,3000.0,38.422441244125366
-0.965277695567301,3100,3100.0,39.43606424331665
-0.9406448204328518,3200,3200.0,40.505866289138794
-0.9733545210691962,3300,3300.0,41.50580549240112
-0.98450372537764,3400,3400.0,42.5707004070282
-0.9838027611817464,3500,3500.0,43.59975790977478
-1.0170305430298985,3600,3600.0,44.61662006378174
-1.0171548157635302,3700,3700.0,45.65937399864197
-1.0566050399943154,3800,3800.0,46.67893123626709
-1.1085706893170233,3900,3900.0,47.71890330314636
-1.0516724332724467,4000,4000.0,49.37118196487427
-1.0693217220872935,4100,4100.0,50.56844615936279
-1.0810170147088494,4200,4200.0,51.70117378234863
-1.1137646342268084,4300,4300.0,52.739630460739136
-1.1678397071243514,4400,4400.0,53.74088430404663
-1.105396316193118,4500,4500.0,54.757166385650635
-1.135769013131019,4600,4600.0,55.780282735824585
-1.1214428030618346,4700,4700.0,56.811803340911865
-1.1523199453212247,4800,4800.0,57.83846712112427
-1.1907575319309045,4900,4900.0,58.8327841758728
-1.1774712606231765,5000,5000.0,59.85001993179321
-1.2072893186370925,5100,5100.0,60.91198492050171
-1.1927591332114569,5200,5200.0,62.06545948982239
-1.193243697728261,5300,5300.0,63.22598147392273
-1.1998234583009588,5400,5400.0,64.28942394256592
-1.2000501607314196,5500,5500.0,65.30544567108154
-1.1827887520931735,5600,5600.0,66.36066102981567
-1.2132057883951923,5700,5700.0,67.49436235427856
-1.2056657577505205,5800,5800.0,68.56230735778809
-1.1805649724337135,5900,5900.0,69.61496782302856
-1.228338599205017,6000,6000.0,71.46722555160522
-1.1824469687324939,6100,6100.0,72.56918525695801
-1.222464333076288,6200,6200.0,73.69804501533508
-1.2372432846834165,6300,6300.0,74.71978855133057
-1.2187969466247182,6400,6400.0,75.84296154975891
-1.204017580440729,6500,6500.0,76.89267134666443
-1.2310893777573462,6600,6600.0,77.9221863746643
-1.232960007568397,6700,6700.0,78.95297074317932
-1.2000400013852828,6800,6800.0,80.10686016082764
-1.212521226689367,6900,6900.0,81.28371977806091
-1.2091802995983918,7000,7000.0,82.3333375453949
-1.2413056286254731,7100,7100.0,83.3748254776001
-1.248254390046148,7200,7200.0,84.41063618659973
-1.2294451635662873,7300,7300.0,85.51659870147705
-1.234024045786055,7400,7400.0,86.70333671569824
-1.176502235455088,7500,7500.0,87.90105414390564
-1.2347599362382795,7600,7600.0,88.93539309501648
-1.256407063786346,7700,7700.0,90.01901507377625
-1.2584248486131724,7800,7800.0,91.2044267654419
-1.2123671964843674,7900,7900.0,92.44350981712341
-1.2037618148444902,8000,8000.0,94.31512141227722
-1.2756340757454976,8100,8100.0,95.66681742668152
